date,region,Government response index,Containment and health index,Stringency index,Economic support index
02/07,New Brunswick,0,0,0,0
02/08,New Brunswick,0,0,0,0
02/09,New Brunswick,0,0,0,0
02/10,New Brunswick,0,0,0,0
02/11,New Brunswick,0,0,0,0
02/12,New Brunswick,0,0,0,0
02/13,New Brunswick,0,0,0,0
02/14,New Brunswick,0,0,0,0
02/15,New Brunswick,0,0,0,0
02/16,New Brunswick,0,0,0,0
02/17,New Brunswick,0,0,0,0
02/18,New Brunswick,0,0,0,0
02/19,New Brunswick,0,0,0,0
02/20,New Brunswick,0,0,0,0
02/21,New Brunswick,0,0,0,0
02/22,New Brunswick,0,0,0,0
02/23,New Brunswick,0,0,0,0
02/24,New Brunswick,0,0,0,0
02/25,New Brunswick,0,0,0,0
02/26,New Brunswick,0,0,0,0
02/27,New Brunswick,0,0,0,0
02/28,New Brunswick,0,0,0,0
02/29,New Brunswick,0,0,0,0
03/01,New Brunswick,0,0,0,0
03/02,New Brunswick,0,0,0,0
03/03,New Brunswick,0,0,0,0
03/04,New Brunswick,0,0,0,0
03/05,New Brunswick,0,0,0,0
03/06,New Brunswick,0,0,0,0
03/07,New Brunswick,0,0,0,0
03/08,New Brunswick,0,0,0,0
03/09,New Brunswick,0,0,0,0
03/10,New Brunswick,0,0,0,0
03/11,New Brunswick,0,0,0,0
03/12,New Brunswick,0,0,0,0
03/13,New Brunswick,3,4,5,0
03/14,New Brunswick,3,4,5,0
03/15,New Brunswick,3,4,5,0
03/16,New Brunswick,10,12,14,0
03/17,New Brunswick,23,28,34,0
03/18,New Brunswick,23,28,34,0
03/19,New Brunswick,23,28,34,0
03/20,New Brunswick,23,28,34,0
03/21,New Brunswick,29,34,42,0
03/22,New Brunswick,29,34,42,0
03/23,New Brunswick,29,34,42,0
03/24,New Brunswick,29,34,42,0
03/25,New Brunswick,29,34,42,0
03/26,New Brunswick,29,34,42,0
03/27,New Brunswick,29,34,42,0
03/28,New Brunswick,29,34,42,0
03/29,New Brunswick,29,34,42,0
03/30,New Brunswick,32,37,42,0
03/31,New Brunswick,32,37,42,0
04/01,New Brunswick,32,37,42,0
04/02,New Brunswick,32,37,42,0
04/03,New Brunswick,32,37,42,0
04/04,New Brunswick,32,37,42,0
04/05,New Brunswick,32,37,42,0
04/06,New Brunswick,32,37,42,0
04/07,New Brunswick,32,37,42,0
04/08,New Brunswick,32,37,42,0
04/09,New Brunswick,32,37,42,0
04/10,New Brunswick,32,37,42,0
04/11,New Brunswick,32,37,42,0
04/12,New Brunswick,32,37,42,0
04/13,New Brunswick,34,40,42,0
04/14,New Brunswick,34,40,42,0
04/15,New Brunswick,34,40,42,0
04/16,New Brunswick,34,40,42,0
04/17,New Brunswick,34,40,42,0
04/18,New Brunswick,34,40,42,0
04/19,New Brunswick,34,40,42,0
04/20,New Brunswick,34,40,42,0
04/21,New Brunswick,34,40,42,0
04/22,New Brunswick,34,40,42,0
04/23,New Brunswick,34,40,42,0
04/24,New Brunswick,34,40,42,0
04/25,New Brunswick,34,40,42,0
04/26,New Brunswick,34,40,42,0
04/27,New Brunswick,34,40,42,0
04/28,New Brunswick,38,45,48,0
04/29,New Brunswick,38,45,48,0
04/30,New Brunswick,38,45,48,0
05/01,New Brunswick,38,45,48,0
05/02,New Brunswick,38,45,48,0
05/03,New Brunswick,38,45,48,0
05/04,New Brunswick,38,45,48,0
05/05,New Brunswick,38,45,48,0
05/06,New Brunswick,38,45,48,0
05/07,New Brunswick,38,45,48,0
05/08,New Brunswick,38,45,48,0
05/09,New Brunswick,38,45,48,0
05/10,New Brunswick,38,45,48,0
05/11,New Brunswick,45,53,57,0
05/12,New Brunswick,45,53,57,0
05/13,New Brunswick,45,53,57,0
05/14,New Brunswick,45,53,57,0
05/15,New Brunswick,45,53,57,0
05/16,New Brunswick,45,53,57,0
05/17,New Brunswick,45,53,57,0
05/18,New Brunswick,45,53,57,0
05/19,New Brunswick,45,53,57,0
05/20,New Brunswick,49,53,57,25
05/21,New Brunswick,49,53,57,25
05/22,New Brunswick,50,54,59,25
05/23,New Brunswick,50,54,59,25
05/24,New Brunswick,50,54,59,25
05/25,New Brunswick,50,54,59,25
05/26,New Brunswick,50,54,59,25
05/27,New Brunswick,50,54,59,25
05/28,New Brunswick,53,59,64,25
05/29,New Brunswick,53,59,64,25
05/30,New Brunswick,53,59,64,25
05/31,New Brunswick,53,59,64,25
06/01,New Brunswick,53,59,64,25
06/02,New Brunswick,53,59,64,25
06/03,New Brunswick,53,59,64,25
06/04,New Brunswick,53,59,64,25
06/05,New Brunswick,53,59,64,25
06/06,New Brunswick,53,59,64,25
06/07,New Brunswick,53,59,64,25
06/08,New Brunswick,53,59,64,25
06/09,New Brunswick,53,59,64,25
06/10,New Brunswick,53,59,64,25
06/11,New Brunswick,53,59,64,25
06/12,New Brunswick,53,59,64,25
06/13,New Brunswick,53,59,64,25
06/14,New Brunswick,53,59,64,25
06/15,New Brunswick,53,59,64,25
06/16,New Brunswick,53,59,64,25
06/17,New Brunswick,53,59,64,25
06/18,New Brunswick,53,59,64,25
06/19,New Brunswick,53,59,64,25
06/20,New Brunswick,53,59,64,25
06/21,New Brunswick,53,59,64,25
06/22,New Brunswick,53,59,64,25
06/23,New Brunswick,53,59,64,25
06/24,New Brunswick,53,59,64,25
06/25,New Brunswick,53,59,64,25
06/26,New Brunswick,53,59,64,25
06/27,New Brunswick,53,59,64,25
06/28,New Brunswick,53,59,64,25
06/29,New Brunswick,53,59,64,25
06/30,New Brunswick,53,59,64,25
07/01,New Brunswick,53,59,64,25
07/02,New Brunswick,53,59,64,25
07/03,New Brunswick,53,59,64,25
07/04,New Brunswick,53,59,64,25
07/05,New Brunswick,53,59,64,25
07/06,New Brunswick,53,59,64,25
07/07,New Brunswick,53,59,64,25
07/08,New Brunswick,53,59,64,25
07/09,New Brunswick,53,59,64,25
07/10,New Brunswick,53,59,64,25
07/11,New Brunswick,53,59,64,25
07/12,New Brunswick,53,59,64,25
07/13,New Brunswick,53,59,64,25
07/14,New Brunswick,53,59,64,25
07/15,New Brunswick,53,59,64,25
07/16,New Brunswick,53,59,64,25
07/17,New Brunswick,53,59,64,25
07/18,New Brunswick,53,59,64,25
07/19,New Brunswick,53,59,64,25
07/20,New Brunswick,53,59,64,25
07/21,New Brunswick,53,59,64,25
07/22,New Brunswick,53,59,64,25
07/23,New Brunswick,53,59,64,25
07/24,New Brunswick,53,59,64,25
07/25,New Brunswick,53,59,64,25
07/26,New Brunswick,53,59,64,25
07/27,New Brunswick,53,59,64,25
07/28,New Brunswick,53,59,64,25
07/29,New Brunswick,53,59,64,25
07/30,New Brunswick,53,59,64,25
07/31,New Brunswick,53,59,64,25
08/01,New Brunswick,53,59,64,25
08/02,New Brunswick,53,59,64,25
08/03,New Brunswick,53,59,64,25
08/04,New Brunswick,53,59,64,25
08/05,New Brunswick,53,59,64,25
08/06,New Brunswick,53,59,64,25
08/07,New Brunswick,53,59,64,25
08/08,New Brunswick,53,59,64,25
08/09,New Brunswick,53,59,64,25
08/10,New Brunswick,53,59,64,25
08/11,New Brunswick,53,59,64,25
08/12,New Brunswick,53,59,64,25
08/13,New Brunswick,53,59,64,25
08/14,New Brunswick,53,59,64,25
08/15,New Brunswick,53,59,64,25
08/16,New Brunswick,53,59,64,25
08/17,New Brunswick,53,59,64,25
08/18,New Brunswick,53,59,64,25
08/19,New Brunswick,53,59,64,25
08/20,New Brunswick,53,59,64,25
08/21,New Brunswick,53,59,64,25
08/22,New Brunswick,53,59,64,25
08/23,New Brunswick,53,59,64,25
08/24,New Brunswick,53,59,64,25
08/25,New Brunswick,53,59,64,25
08/26,New Brunswick,53,59,64,25
08/27,New Brunswick,53,59,64,25
08/28,New Brunswick,53,59,64,25
08/29,New Brunswick,53,59,64,25
08/30,New Brunswick,53,59,64,25
08/31,New Brunswick,53,59,64,25
09/01,New Brunswick,53,59,64,25
01/07,Nova Scotia,0,0,0,0
01/08,Nova Scotia,0,0,0,0
01/09,Nova Scotia,0,0,0,0
01/10,Nova Scotia,0,0,0,0
01/11,Nova Scotia,0,0,0,0
01/12,Nova Scotia,0,0,0,0
01/13,Nova Scotia,0,0,0,0
01/14,Nova Scotia,0,0,0,0
01/15,Nova Scotia,0,0,0,0
01/16,Nova Scotia,0,0,0,0
01/17,Nova Scotia,0,0,0,0
01/18,Nova Scotia,0,0,0,0
01/19,Nova Scotia,0,0,0,0
01/20,Nova Scotia,0,0,0,0
01/21,Nova Scotia,0,0,0,0
01/22,Nova Scotia,0,0,0,0
01/23,Nova Scotia,0,0,0,0
01/24,Nova Scotia,0,0,0,0
01/25,Nova Scotia,0,0,0,0
01/26,Nova Scotia,0,0,0,0
01/27,Nova Scotia,0,0,0,0
01/28,Nova Scotia,0,0,0,0
01/29,Nova Scotia,0,0,0,0
01/30,Nova Scotia,0,0,0,0
01/31,Nova Scotia,0,0,0,0
02/01,Nova Scotia,0,0,0,0
02/02,Nova Scotia,0,0,0,0
02/03,Nova Scotia,0,0,0,0
02/04,Nova Scotia,0,0,0,0
02/05,Nova Scotia,0,0,0,0
02/06,Nova Scotia,0,0,0,0
02/07,Nova Scotia,0,0,0,0
02/08,Nova Scotia,0,0,0,0
02/09,Nova Scotia,0,0,0,0
02/10,Nova Scotia,0,0,0,0
02/11,Nova Scotia,0,0,0,0
02/12,Nova Scotia,0,0,0,0
02/13,Nova Scotia,0,0,0,0
02/14,Nova Scotia,0,0,0,0
02/15,Nova Scotia,0,0,0,0
02/16,Nova Scotia,0,0,0,0
02/17,Nova Scotia,0,0,0,0
02/18,Nova Scotia,0,0,0,0
02/19,Nova Scotia,0,0,0,0
02/20,Nova Scotia,0,0,0,0
02/21,Nova Scotia,0,0,0,0
02/22,Nova Scotia,0,0,0,0
02/23,Nova Scotia,0,0,0,0
02/24,Nova Scotia,0,0,0,0
02/25,Nova Scotia,0,0,0,0
02/26,Nova Scotia,0,0,0,0
02/27,Nova Scotia,0,0,0,0
02/28,Nova Scotia,0,0,0,0
02/29,Nova Scotia,0,0,0,0
03/01,Nova Scotia,0,0,0,0
03/02,Nova Scotia,0,0,0,0
03/03,Nova Scotia,0,0,0,0
03/04,Nova Scotia,0,0,0,0
03/05,Nova Scotia,0,0,0,0
03/06,Nova Scotia,0,0,0,0
03/07,Nova Scotia,0,0,0,0
03/08,Nova Scotia,0,0,0,0
03/09,Nova Scotia,0,0,0,0
03/10,Nova Scotia,0,0,0,0
03/11,Nova Scotia,0,0,0,0
03/12,Nova Scotia,0,0,0,0
03/13,Nova Scotia,0,0,0,0
03/14,Nova Scotia,0,0,0,0
03/15,Nova Scotia,5,6,7,0
03/16,Nova Scotia,7,8,10,0
03/17,Nova Scotia,12,14,17,0
03/18,Nova Scotia,12,14,17,0
03/19,Nova Scotia,12,14,17,0
03/20,Nova Scotia,12,14,17,0
03/21,Nova Scotia,12,14,17,0
03/22,Nova Scotia,12,14,17,0
03/23,Nova Scotia,12,14,17,0
03/24,Nova Scotia,12,14,17,0
03/25,Nova Scotia,12,14,17,0
03/26,Nova Scotia,14,17,17,0
03/27,Nova Scotia,14,17,17,0
03/28,Nova Scotia,14,17,17,0
03/29,Nova Scotia,14,17,17,0
03/30,Nova Scotia,14,17,17,0
03/31,Nova Scotia,14,17,17,0
04/01,Nova Scotia,14,17,17,0
04/02,Nova Scotia,14,17,17,0
04/03,Nova Scotia,14,17,17,0
04/04,Nova Scotia,14,17,17,0
04/05,Nova Scotia,14,17,17,0
04/06,Nova Scotia,14,17,17,0
04/07,Nova Scotia,14,17,17,0
04/08,Nova Scotia,14,17,17,0
04/09,Nova Scotia,14,17,17,0
04/10,Nova Scotia,14,17,17,0
04/11,Nova Scotia,14,17,17,0
04/12,Nova Scotia,14,17,17,0
04/13,Nova Scotia,14,17,17,0
04/14,Nova Scotia,14,17,17,0
04/15,Nova Scotia,14,17,17,0
04/16,Nova Scotia,14,17,17,0
04/17,Nova Scotia,14,17,17,0
04/18,Nova Scotia,14,17,17,0
04/19,Nova Scotia,14,17,17,0
04/20,Nova Scotia,14,17,17,0
04/21,Nova Scotia,14,17,17,0
04/22,Nova Scotia,14,17,17,0
04/23,Nova Scotia,14,17,17,0
04/24,Nova Scotia,14,17,17,0
04/25,Nova Scotia,18,21,23,0
04/26,Nova Scotia,18,21,23,0
04/27,Nova Scotia,18,21,23,0
04/28,Nova Scotia,18,21,23,0
04/29,Nova Scotia,18,21,23,0
04/30,Nova Scotia,18,21,23,0
05/01,Nova Scotia,18,21,23,0
05/02,Nova Scotia,18,21,23,0
05/03,Nova Scotia,18,21,23,0
05/04,Nova Scotia,18,21,23,0
05/05,Nova Scotia,18,21,23,0
05/06,Nova Scotia,18,21,23,0
05/07,Nova Scotia,18,21,23,0
05/08,Nova Scotia,21,25,26,0
05/09,Nova Scotia,21,25,26,0
05/10,Nova Scotia,21,25,26,0
05/11,Nova Scotia,21,25,26,0
05/12,Nova Scotia,21,25,26,0
05/13,Nova Scotia,21,25,26,0
05/14,Nova Scotia,21,25,26,0
05/15,Nova Scotia,21,25,26,0
05/16,Nova Scotia,21,25,26,0
05/17,Nova Scotia,21,25,26,0
05/18,Nova Scotia,21,25,26,0
05/19,Nova Scotia,21,25,26,0
05/20,Nova Scotia,21,25,26,0
05/21,Nova Scotia,21,25,26,0
05/22,Nova Scotia,23,28,26,0
05/23,Nova Scotia,23,28,26,0
05/24,Nova Scotia,23,28,26,0
05/25,Nova Scotia,23,28,26,0
05/26,Nova Scotia,23,28,26,0
05/27,Nova Scotia,23,28,26,0
05/28,Nova Scotia,23,28,26,0
05/29,Nova Scotia,23,28,26,0
05/30,Nova Scotia,23,28,26,0
05/31,Nova Scotia,23,28,26,0
06/01,Nova Scotia,23,28,26,0
06/02,Nova Scotia,23,28,26,0
06/03,Nova Scotia,23,28,26,0
06/04,Nova Scotia,23,28,26,0
06/05,Nova Scotia,23,28,26,0
06/06,Nova Scotia,23,28,26,0
06/07,Nova Scotia,23,28,26,0
06/08,Nova Scotia,23,28,26,0
06/09,Nova Scotia,23,28,26,0
06/10,Nova Scotia,23,28,26,0
06/11,Nova Scotia,23,28,26,0
06/12,Nova Scotia,23,28,26,0
06/13,Nova Scotia,23,28,26,0
06/14,Nova Scotia,23,28,26,0
06/15,Nova Scotia,23,28,26,0
06/16,Nova Scotia,23,28,26,0
06/17,Nova Scotia,23,28,26,0
06/18,Nova Scotia,23,28,26,0
06/19,Nova Scotia,23,28,26,0
06/20,Nova Scotia,23,28,26,0
06/21,Nova Scotia,23,28,26,0
06/22,Nova Scotia,23,28,26,0
06/23,Nova Scotia,23,28,26,0
06/24,Nova Scotia,23,28,26,0
06/25,Nova Scotia,23,28,26,0
06/26,Nova Scotia,23,28,26,0
06/27,Nova Scotia,23,28,26,0
06/28,Nova Scotia,23,28,26,0
06/29,Nova Scotia,23,28,26,0
06/30,Nova Scotia,23,28,26,0
07/01,Nova Scotia,23,28,26,0
07/02,Nova Scotia,23,28,26,0
07/03,Nova Scotia,23,28,26,0
07/04,Nova Scotia,23,28,26,0
07/05,Nova Scotia,23,28,26,0
07/06,Nova Scotia,23,28,26,0
07/07,Nova Scotia,23,28,26,0
07/08,Nova Scotia,25,30,29,0
07/09,Nova Scotia,25,30,29,0
07/10,Nova Scotia,25,30,29,0
07/11,Nova Scotia,25,30,29,0
07/12,Nova Scotia,25,30,29,0
07/13,Nova Scotia,25,30,29,0
07/14,Nova Scotia,25,30,29,0
07/15,Nova Scotia,25,30,29,0
07/16,Nova Scotia,25,30,29,0
07/17,Nova Scotia,25,30,29,0
07/18,Nova Scotia,25,30,29,0
07/19,Nova Scotia,25,30,29,0
07/20,Nova Scotia,25,30,29,0
07/21,Nova Scotia,25,30,29,0
07/22,Nova Scotia,25,30,29,0
07/23,Nova Scotia,25,30,29,0
07/24,Nova Scotia,25,30,29,0
07/25,Nova Scotia,25,30,29,0
07/26,Nova Scotia,25,30,29,0
07/27,Nova Scotia,25,30,29,0
07/28,Nova Scotia,25,30,29,0
07/29,Nova Scotia,25,30,29,0
07/30,Nova Scotia,25,30,29,0
07/31,Nova Scotia,25,30,29,0
08/01,Nova Scotia,25,30,29,0
08/02,Nova Scotia,25,30,29,0
08/03,Nova Scotia,25,30,29,0
08/04,Nova Scotia,25,30,29,0
08/05,Nova Scotia,25,30,29,0
08/06,Nova Scotia,25,30,29,0
08/07,Nova Scotia,25,30,29,0
08/08,Nova Scotia,25,30,29,0
08/09,Nova Scotia,25,30,29,0
08/10,Nova Scotia,25,30,29,0
08/11,Nova Scotia,25,30,29,0
08/12,Nova Scotia,25,30,29,0
08/13,Nova Scotia,25,30,29,0
08/14,Nova Scotia,25,30,29,0
08/15,Nova Scotia,25,30,29,0
08/16,Nova Scotia,25,30,29,0
08/17,Nova Scotia,25,30,29,0
08/18,Nova Scotia,25,30,29,0
08/19,Nova Scotia,25,30,29,0
08/20,Nova Scotia,25,30,29,0
08/21,Nova Scotia,25,30,29,0
08/22,Nova Scotia,25,30,29,0
08/23,Nova Scotia,25,30,29,0
08/24,Nova Scotia,25,30,29,0
08/25,Nova Scotia,25,30,29,0
08/26,Nova Scotia,25,30,29,0
08/27,Nova Scotia,25,30,29,0
08/28,Nova Scotia,25,30,29,0
08/29,Nova Scotia,25,30,29,0
08/30,Nova Scotia,25,30,29,0
08/31,Nova Scotia,25,30,29,0
09/01,Nova Scotia,25,30,29,0
01/07,Manitoba,0,0,0,0
01/08,Manitoba,0,0,0,0
01/09,Manitoba,0,0,0,0
01/10,Manitoba,0,0,0,0
01/11,Manitoba,0,0,0,0
01/12,Manitoba,0,0,0,0
01/13,Manitoba,0,0,0,0
01/14,Manitoba,0,0,0,0
01/15,Manitoba,0,0,0,0
01/16,Manitoba,0,0,0,0
01/17,Manitoba,0,0,0,0
01/18,Manitoba,0,0,0,0
01/19,Manitoba,0,0,0,0
01/20,Manitoba,0,0,0,0
01/21,Manitoba,0,0,0,0
01/22,Manitoba,0,0,0,0
01/23,Manitoba,0,0,0,0
01/24,Manitoba,0,0,0,0
01/25,Manitoba,0,0,0,0
01/26,Manitoba,0,0,0,0
01/27,Manitoba,0,0,0,0
01/28,Manitoba,0,0,0,0
01/29,Manitoba,0,0,0,0
01/30,Manitoba,0,0,0,0
01/31,Manitoba,0,0,0,0
02/01,Manitoba,0,0,0,0
02/02,Manitoba,0,0,0,0
02/03,Manitoba,0,0,0,0
02/04,Manitoba,0,0,0,0
02/05,Manitoba,0,0,0,0
02/06,Manitoba,0,0,0,0
02/07,Manitoba,0,0,0,0
02/08,Manitoba,0,0,0,0
02/09,Manitoba,0,0,0,0
02/10,Manitoba,0,0,0,0
02/11,Manitoba,0,0,0,0
02/12,Manitoba,0,0,0,0
02/13,Manitoba,0,0,0,0
02/14,Manitoba,0,0,0,0
02/15,Manitoba,0,0,0,0
02/16,Manitoba,0,0,0,0
02/17,Manitoba,0,0,0,0
02/18,Manitoba,0,0,0,0
02/19,Manitoba,0,0,0,0
02/20,Manitoba,0,0,0,0
02/21,Manitoba,0,0,0,0
02/22,Manitoba,0,0,0,0
02/23,Manitoba,0,0,0,0
02/24,Manitoba,0,0,0,0
02/25,Manitoba,0,0,0,0
02/26,Manitoba,0,0,0,0
02/27,Manitoba,0,0,0,0
02/28,Manitoba,3,4,5,0
02/29,Manitoba,3,4,5,0
03/01,Manitoba,3,4,5,0
03/02,Manitoba,3,4,5,0
03/03,Manitoba,3,4,5,0
03/04,Manitoba,3,4,5,0
03/05,Manitoba,3,4,5,0
03/06,Manitoba,3,4,5,0
03/07,Manitoba,3,4,5,0
03/08,Manitoba,3,4,5,0
03/09,Manitoba,3,4,5,0
03/10,Manitoba,3,4,5,0
03/11,Manitoba,3,4,5,0
03/12,Manitoba,3,4,5,0
03/13,Manitoba,8,10,12,0
03/14,Manitoba,8,10,12,0
03/15,Manitoba,8,10,12,0
03/16,Manitoba,8,10,12,0
03/17,Manitoba,14,16,20,0
03/18,Manitoba,14,16,20,0
03/19,Manitoba,14,16,20,0
03/20,Manitoba,19,23,28,0
03/21,Manitoba,19,23,28,0
03/22,Manitoba,19,23,28,0
03/23,Manitoba,19,23,28,0
03/24,Manitoba,19,23,28,0
03/25,Manitoba,19,23,28,0
03/26,Manitoba,19,23,28,0
03/27,Manitoba,19,23,28,0
03/28,Manitoba,19,23,28,0
03/29,Manitoba,19,23,28,0
03/30,Manitoba,22,26,32,0
03/31,Manitoba,22,26,32,0
04/01,Manitoba,22,26,32,0
04/02,Manitoba,22,26,32,0
04/03,Manitoba,22,26,32,0
04/04,Manitoba,22,26,32,0
04/05,Manitoba,26,31,37,0
04/06,Manitoba,26,31,37,0
04/07,Manitoba,26,31,37,0
04/08,Manitoba,26,31,37,0
04/09,Manitoba,26,31,37,0
04/10,Manitoba,26,31,37,0
04/11,Manitoba,26,31,37,0
04/12,Manitoba,26,31,37,0
04/13,Manitoba,26,31,37,0
04/14,Manitoba,26,31,37,0
04/15,Manitoba,26,31,37,0
04/16,Manitoba,32,38,43,0
04/17,Manitoba,32,38,43,0
04/18,Manitoba,32,38,43,0
04/19,Manitoba,32,38,43,0
04/20,Manitoba,32,38,43,0
04/21,Manitoba,32,38,43,0
04/22,Manitoba,32,38,43,0
04/23,Manitoba,32,38,43,0
04/24,Manitoba,32,38,43,0
04/25,Manitoba,32,38,43,0
04/26,Manitoba,32,38,43,0
04/27,Manitoba,32,38,43,0
04/28,Manitoba,32,38,43,0
04/29,Manitoba,32,38,43,0
04/30,Manitoba,32,38,43,0
05/01,Manitoba,32,38,43,0
05/02,Manitoba,32,38,43,0
05/03,Manitoba,32,38,43,0
05/04,Manitoba,32,38,43,0
05/05,Manitoba,32,38,43,0
05/06,Manitoba,32,38,43,0
05/07,Manitoba,32,38,43,0
05/08,Manitoba,32,38,43,0
05/09,Manitoba,32,38,43,0
05/10,Manitoba,32,38,43,0
05/11,Manitoba,32,38,43,0
05/12,Manitoba,32,38,43,0
05/13,Manitoba,32,38,43,0
05/14,Manitoba,32,38,43,0
05/15,Manitoba,32,38,43,0
05/16,Manitoba,32,38,43,0
05/17,Manitoba,32,38,43,0
05/18,Manitoba,32,38,43,0
05/19,Manitoba,32,38,43,0
05/20,Manitoba,32,38,43,0
05/21,Manitoba,32,38,43,0
05/22,Manitoba,32,38,43,0
05/23,Manitoba,32,38,43,0
05/24,Manitoba,32,38,43,0
05/25,Manitoba,32,38,43,0
05/26,Manitoba,32,38,43,0
05/27,Manitoba,32,38,43,0
05/28,Manitoba,32,38,43,0
05/29,Manitoba,32,38,43,0
05/30,Manitoba,32,38,43,0
05/31,Manitoba,32,38,43,0
06/01,Manitoba,30,35,39,0
06/02,Manitoba,30,35,39,0
06/03,Manitoba,30,35,39,0
06/04,Manitoba,30,35,39,0
06/05,Manitoba,30,35,39,0
06/06,Manitoba,30,35,39,0
06/07,Manitoba,30,35,39,0
06/08,Manitoba,30,35,39,0
06/09,Manitoba,30,35,39,0
06/10,Manitoba,30,35,39,0
06/11,Manitoba,30,35,39,0
06/12,Manitoba,30,35,39,0
06/13,Manitoba,30,35,39,0
06/14,Manitoba,30,35,39,0
06/15,Manitoba,30,35,39,0
06/16,Manitoba,30,35,39,0
06/17,Manitoba,30,35,39,0
06/18,Manitoba,30,35,39,0
06/19,Manitoba,30,35,39,0
06/20,Manitoba,30,35,39,0
06/21,Manitoba,30,35,39,0
06/22,Manitoba,30,35,39,0
06/23,Manitoba,30,35,39,0
06/24,Manitoba,30,35,39,0
06/25,Manitoba,25,29,32,0
06/26,Manitoba,25,29,32,0
06/27,Manitoba,25,29,32,0
06/28,Manitoba,25,29,32,0
06/29,Manitoba,25,29,32,0
06/30,Manitoba,25,29,32,0
07/01,Manitoba,25,29,32,0
07/02,Manitoba,25,29,32,0
07/03,Manitoba,25,29,32,0
07/04,Manitoba,25,29,32,0
07/05,Manitoba,25,29,32,0
07/06,Manitoba,25,29,32,0
07/07,Manitoba,25,29,32,0
07/08,Manitoba,25,29,32,0
07/09,Manitoba,25,29,32,0
07/10,Manitoba,25,29,32,0
07/11,Manitoba,25,29,32,0
07/12,Manitoba,25,29,32,0
07/13,Manitoba,25,29,32,0
07/14,Manitoba,25,29,32,0
07/15,Manitoba,25,29,32,0
07/16,Manitoba,25,29,32,0
07/17,Manitoba,25,29,32,0
07/18,Manitoba,25,29,32,0
07/19,Manitoba,25,29,32,0
07/20,Manitoba,25,29,32,0
07/21,Manitoba,25,29,32,0
07/22,Manitoba,25,29,32,0
07/23,Manitoba,25,29,32,0
07/24,Manitoba,25,29,32,0
07/25,Manitoba,25,29,32,0
07/26,Manitoba,25,29,32,0
07/27,Manitoba,25,29,32,0
07/28,Manitoba,25,29,32,0
07/29,Manitoba,25,29,32,0
07/30,Manitoba,25,29,32,0
07/31,Manitoba,25,29,32,0
08/01,Manitoba,25,29,32,0
08/02,Manitoba,25,29,32,0
08/03,Manitoba,25,29,32,0
08/04,Manitoba,25,29,32,0
08/05,Manitoba,25,29,32,0
08/06,Manitoba,25,29,32,0
08/07,Manitoba,25,29,32,0
08/08,Manitoba,25,29,32,0
08/09,Manitoba,25,29,32,0
08/10,Manitoba,25,29,32,0
08/11,Manitoba,25,29,32,0
08/12,Manitoba,25,29,32,0
08/13,Manitoba,25,29,32,0
08/14,Manitoba,25,29,32,0
08/15,Manitoba,25,29,32,0
08/16,Manitoba,25,29,32,0
08/17,Manitoba,25,29,32,0
08/18,Manitoba,25,29,32,0
08/19,Manitoba,25,29,32,0
08/20,Manitoba,25,29,32,0
08/21,Manitoba,25,29,32,0
08/22,Manitoba,25,29,32,0
08/23,Manitoba,25,29,32,0
08/24,Manitoba,25,29,32,0
08/25,Manitoba,25,29,32,0
08/26,Manitoba,25,29,32,0
08/27,Manitoba,25,29,32,0
08/28,Manitoba,25,29,32,0
08/29,Manitoba,25,29,32,0
08/30,Manitoba,25,29,32,0
08/31,Manitoba,25,29,32,0
09/01,Manitoba,25,29,32,0
01/07,Alberta,0,0,0,0
01/08,Alberta,0,0,0,0
01/09,Alberta,0,0,0,0
01/10,Alberta,0,0,0,0
01/11,Alberta,0,0,0,0
01/12,Alberta,0,0,0,0
01/13,Alberta,0,0,0,0
01/14,Alberta,0,0,0,0
01/15,Alberta,0,0,0,0
01/16,Alberta,0,0,0,0
01/17,Alberta,0,0,0,0
01/18,Alberta,0,0,0,0
01/19,Alberta,0,0,0,0
01/20,Alberta,0,0,0,0
01/21,Alberta,0,0,0,0
01/22,Alberta,0,0,0,0
01/23,Alberta,0,0,0,0
01/24,Alberta,0,0,0,0
01/25,Alberta,0,0,0,0
01/26,Alberta,0,0,0,0
01/27,Alberta,0,0,0,0
01/28,Alberta,0,0,0,0
01/29,Alberta,0,0,0,0
01/30,Alberta,0,0,0,0
01/31,Alberta,0,0,0,0
02/01,Alberta,0,0,0,0
02/02,Alberta,0,0,0,0
02/03,Alberta,0,0,0,0
02/04,Alberta,0,0,0,0
02/05,Alberta,0,0,0,0
02/06,Alberta,0,0,0,0
02/07,Alberta,0,0,0,0
02/08,Alberta,0,0,0,0
02/09,Alberta,0,0,0,0
02/10,Alberta,0,0,0,0
02/11,Alberta,0,0,0,0
02/12,Alberta,0,0,0,0
02/13,Alberta,0,0,0,0
02/14,Alberta,0,0,0,0
02/15,Alberta,0,0,0,0
02/16,Alberta,0,0,0,0
02/17,Alberta,0,0,0,0
02/18,Alberta,0,0,0,0
02/19,Alberta,0,0,0,0
02/20,Alberta,0,0,0,0
02/21,Alberta,0,0,0,0
02/22,Alberta,0,0,0,0
02/23,Alberta,0,0,0,0
02/24,Alberta,0,0,0,0
02/25,Alberta,0,0,0,0
02/26,Alberta,0,0,0,0
02/27,Alberta,0,0,0,0
02/28,Alberta,0,0,0,0
02/29,Alberta,0,0,0,0
03/01,Alberta,0,0,0,0
